"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-01","1.1",",,W",,,"2.5",",,W,2400",,,"28.9",",,W","23.3",",,W",,,"5.8",",,W","10.3",",,W","    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-02","1.2",",,W",,,"13.0",",,W,2400",,,"30.0",",,W","24.4",",,W",,,"4.5",",,W","8.9",",,W","    1",",,W",,,"    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-03","1.0",",,W",,,"6.1",",,W,2400",,,"29.4",",,W","22.8",",,W",,,"4.0",",,W","9.4",",,W","    1",",,W",,,"    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-04","1.2",",,W",,,"18.8",",,W,2400",,,"28.9",",,W","22.2",",,W",,,"4.0",",,W","5.8",",,W","    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-05","0.5",",,W",,,"0.0",",,W,2400",,,"32.8",",,W","22.8",",,W",,,"3.1",",,W","5.4",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-06","0.9",",,W",,,"0.0",",,W,2400",,,"33.3",",,W","25.0",",,W",,,"4.5",",,W","7.6",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-07","1.7",",,W",,,"1.3",",,W,2400",,,"32.2",",,W","23.3",",,W",,,"4.5",",,W","9.8",",,W","    1",",,W",,,"    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-08","0.7",",,W",,,"0.0",",,W,2400",,,"32.2",",,W","24.4",",,W",,,"3.6",",,W","6.3",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-09","1.3",",,W",,,"15.5",",,W,2400",,,"30.0",",,W","22.8",",,W",,,"5.4",",,W","9.4",",,W","    1",",,W",,,"    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-10","0.6",",,W",,,"0.0","T,,W,2400",,,"30.0",",,W","22.2",",,W",,,"3.6",",,W","5.4",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-11","0.9",",,W",,,"73.7",",,W,2400",,,"26.7",",,W","21.1",",,W",,,"4.5",",,W","8.5",",,W","    1",",,W","    1",",,W","    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-12","1.3",",,W",,,"0.0","T,,W,2400",,,"28.9",",,W","22.2",",,W",,,"4.5",",,W","7.6",",,W","    1",",,W",,,"    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-13","1.5",",,W",,,"16.8",",,W,2400",,,"23.9",",,W","21.7",",,W",,,"5.4",",,W","8.9",",,W","    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-14","1.3",",,W",,,"20.1",",,W,2400",,,"27.8",",,W","21.7",",,W",,,"7.6",",,W","11.2",",,W","    1",",,W",,,"    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-15","1.9",",,W",,,"0.0",",,W,2400",,,"30.0",",,W","21.1",",,W",,,"5.4",",,W","7.6",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-16","1.3",",,W",,,"0.0",",,W,2400",,,"31.1",",,W","24.4",",,W",,,"5.4",",,W","7.6",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-17","1.3",",,W",,,"26.4",",,W,2400",,,"30.6",",,W","22.2",",,W",,,"6.3",",,W","11.6",",,W","    1",",,W","    1",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-18","1.7",",,W",,,"1.8",",,W,2400",,,"29.4",",,W","21.7",",,W",,,"4.5",",,W","8.9",",,W","    1",",,W",,,"    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-19","2.1",",,W",,,"0.5",",,W,2400",,,"22.2",",,W","19.4",",,W",,,"5.8",",,W","8.9",",,W","    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-20","1.2",",,W",,,"0.0","T,,W,2400",,,"23.3",",,W","19.4",",,W",,,"4.5",",,W","7.6",",,W","    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-21","1.6",",,W",,,"2.8",",,W,2400",,,"26.1",",,W","18.9",",,W",,,"4.0",",,W","7.2",",,W","    1",",,W",,,"    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-22","1.8",",,W",,,"18.3",",,W,2400",,,"27.8",",,W","21.7",",,W",,,"5.4",",,W","8.9",",,W","    1",",,W",,,,,,,,,,,,
